rank,keyword,score
1,story,210
2,time,184
3,like,163
4,would,152
5,novel,138
6,character,135
7,make,124
8,people,122
9,really,121
10,good,119
11,much,116
12,love,113
13,life,112
14,many,109
15,get,109
