rank,keyword,score
1,book,0.07667385613004118
2,read,0.04054623379404207
3,one,0.031111840072139383
4,story,0.02546466231566674
5,time,0.02297238622739072
6,great,0.020894897508498596
7,like,0.020739953276305064
8,really,0.020228636641424137
9,love,0.020128642283082393
10,would,0.019803069143788123
11,good,0.01933471086712065
12,character,0.01863924649659765
13,novel,0.01739537272221836
14,get,0.017114412530550304
15,life,0.016976400043608397
