rank,keyword,score
1,would,34
2,story,26
3,really,25
4,time,25
5,people,23
6,novel,23
7,make,22
8,like,22
9,character,22
10,author,21
11,even,20
12,many,19
13,good,19
14,dont,17
15,much,16
