rank,keyword,score
1,story,0.02653201264686469
2,great,0.02449738608335328
3,time,0.023050919491515276
4,love,0.02262753914043883
5,really,0.019686842709282355
6,good,0.01953660833812363
7,like,0.01920359880956555
8,life,0.018623524055440134
9,character,0.018598823008757606
10,get,0.018261790353937282
11,would,0.018116554811033827
12,year,0.017346039910474592
13,written,0.017188254126179563
14,make,0.016971165956431947
15,work,0.016462940102333373
